"","Date","Confirmed","New_confirmed","Quarantined","New_quarantined","Deceased","New_deceased","Cured","New_cured","Home_isolated","New_home_isolated","Supervised","New_supervised","Hospitalized","New_hospitalized","Isolated","ECDC","ECDCdelta","NewLockdownRate"
"1",2020-11-10,2601,135,3014,447,26,0,965,105,1603,132,1,0,0,0,0,80.9473684210526,3.94736842105263,60.7518796992481
"2",2020-11-09,2466,111,3059,439,26,0,860,48,1576,111,1,0,0,0,0,77,4.26315789473684,58.796992481203
"3",2020-11-08,2355,62,3274,104,26,0,812,53,1513,62,1,0,0,0,0,72.7368421052632,2.10526315789474,58.2706766917293
"4",2020-11-07,2293,97,3321,279,26,2,759,42,1504,97,1,0,0,0,0,70.6315789473684,2.63157894736842,59.6240601503759
"5",2020-11-06,2196,153,3720,1154,24,2,717,60,1451,153,1,1,0,0,0,68,5.1578947368421,59.8496240601504
"6",2020-11-05,2043,112,2827,693,22,1,657,42,1358,108,2,0,0,0,0,62.8421052631579,3.15789473684211,59.6240601503759
"7",2020-11-04,1931,138,2645,461,21,0,615,36,1292,138,2,0,0,0,0,59.6842105263158,4.94736842105263,59.0977443609023
"8",2020-11-03,1793,109,2359,380,21,0,579,38,1190,109,2,0,0,0,0,54.7368421052632,3.42105263157895,54.8872180451128
"9",2020-11-02,1684,104,2292,286,21,0,541,50,1019,104,2,0,0,0,0,51.3157894736842,4.15789473684211,51.203007518797
"10",2020-11-01,1580,80,2299,169,21,1,491,10,1065,80,2,0,0,0,0,47.1578947368421,3.63157894736842,45.6390977443609
"11",2020-10-31,1500,100,2249,699,20,1,481,10,995,98,2,0,0,0,0,43.5263157894737,3.68421052631579,41.2781954887218
"12",2020-10-30,1400,150,1812,486,19,0,471,35,907,149,2,0,0,0,0,39.8421052631579,4.47368421052632,37.2932330827068
"13",2020-10-29,1250,105,1656,288,19,1,436,10,793,105,2,0,0,0,0,35.3684210526316,3.10526315789474,30.1503759398496
"14",2020-10-28,1145,82,1579,290,18,0,426,10,698,81,10,0,0,0,0,32.2631578947368,2.89473684210526,26.1654135338346
"15",2020-10-27,1063,60,1789,694,18,2,416,10,627,59,10,5,0,0,0,29.3684210526316,2.05263157894737,23.3082706766917
"16",2020-10-26,1003,30,1306,157,16,0,406,10,578,30,5,0,0,0,0,27.3157894736842,0.421052631578945,22.1052631578947
"17",2020-10-25,973,22,2140,127,16,0,396,10,548,22,5,0,0,0,0,26.8947368421053,0.421052631578949,21.7293233082707
"18",2020-10-24,951,47,2094,358,16,0,386,22,536,46,10,0,0,0,0,26.4736842105263,1.63157894736842,20.9022556390977
"19",2020-10-23,904,55,1856,634,16,1,364,10,512,54,10,0,0,0,0,24.8421052631579,2.21052631578947,19.6240601503759
"20",2020-10-22,849,52,1922,638,15,0,354,10,468,51,10,0,0,0,0,22.6315789473684,1.26315789473684,20.3759398496241
"21",2020-10-21,797,44,1484,332,15,0,344,17,426,44,10,0,0,0,0,21.3684210526316,1.36842105263158,19.9248120300752
"22",2020-10-20,753,44,1403,226,15,2,327,10,399,43,10,0,0,0,0,20,1.42105263157895,18.6466165413534
"23",2020-10-19,709,25,2307,1045,13,0,317,5,366,24,10,6,0,0,0,18.5789473684211,0.789473684210524,16.9172932330827
"24",2020-10-18,684,11,1857,176,13,0,312,0,347,11,57,0,0,0,0,17.7894736842105,0.578947368421055,16.6917293233083
"25",2020-10-17,673,30,2023,180,13,0,312,5,336,29,57,0,0,0,0,17.2105263157895,1.36842105263158,16.9172932330827
"26",2020-10-16,643,65,2010,553,13,0,307,10,307,59,57,3,0,0,0,15.8421052631579,3.05263157894737,15.8646616541353
"27",2020-10-15,578,46,1819,228,13,0,297,5,258,46,54,0,0,0,0,12.7894736842105,2.1578947368421,11.9548872180451
"28",2020-10-14,532,27,1648,300,13,0,292,0,217,26,54,1,0,0,0,10.6315789473684,1.21052631578947,10.6015037593985
"29",2020-10-13,505,21,1474,372,13,0,292,8,191,21,53,3,0,0,0,9.42105263157895,0.736842105263158,9.92481203007519
"30",2020-10-12,484,22,1736,215,13,0,284,0,178,21,52,0,0,0,0,8.68421052631579,0.842105263157895,9.62406015037594
"31",2020-10-11,462,14,1893,372,13,1,284,7,157,13,52,0,0,0,0,7.84210526315789,0.526315789473684,8.7218045112782
"32",2020-10-10,448,16,1858,501,12,0,277,6,150,16,52,12,0,0,0,7.31578947368421,0.578947368421053,7.66917293233083
"33",2020-10-09,432,13,1549,443,12,0,271,10,140,13,40,0,0,0,0,6.73684210526316,0.210526315789473,6.76691729323308
"34",2020-10-08,419,28,1284,277,12,0,261,14,137,28,40,4,0,0,0,6.52631578947368,1.15789473684211,6.31578947368421
"35",2020-10-07,391,18,1094,168,12,1,247,1,122,17,78,29,0,0,0,5.36842105263158,0.789473684210527,4.58646616541353
"36",2020-10-06,373,17,974,144,11,0,246,0,106,16,49,0,0,0,0,4.57894736842105,0.578947368421052,3.53383458646617
"37",2020-10-05,356,10,1078,110,11,0,246,2,90,8,49,0,0,0,0,4,0.105263157894737,2.78195488721805
"38",2020-10-04,346,0,1310,175,11,0,244,0,84,0,49,0,0,0,0,3.89473684210526,0,2.4812030075188
"39",2020-10-03,346,4,1211,177,11,0,244,2,84,4,49,0,0,0,0,3.89473684210526,0.0526315789473686,2.78195488721805
"40",2020-10-02,342,7,994,192,11,0,242,5,83,7,49,0,0,0,0,3.84210526315789,0.157894736842105,2.85714285714286
